""	"logFC"	"P.Value"	"adj.P.Val"
"TMEM229B"	1.71043111353615	3.41207958812963e-05	0.0013630322134124
"GPR153"	-1.82560505119114	3.42513324613135e-05	0.0013630322134124
"KITLG"	2.02072100525767	3.44060765102101e-05	0.0013630322134124
"GDF15"	-1.97977678033052	3.44880374715485e-05	0.0013630322134124
"MMP16"	1.87831129336399	3.45112396571087e-05	0.0013630322134124
"HSD3B1"	6.8316298843758	3.45785897725072e-05	0.0013630322134124
"C21orf91"	-1.31996493681955	3.45821015132871e-05	0.0013630322134124
"KDELC2"	1.26341126620568	3.50483813137066e-05	0.00137669563324044
"HES4"	-2.06371717494393	3.51788420940067e-05	0.00137712004646232
"CD8A"	1.50109490890858	3.54114411835971e-05	0.00138152636129498
"CPPED1"	1.49907922967386	3.58955395134022e-05	0.00139179689984915
"LAT2"	-1.87485064582607	3.60297404705279e-05	0.00139179689984915
"TGFB3"	-1.09244042948139	3.61517307585832e-05	0.00139179689984915
"PLB1"	-1.41775964599628	3.61584215009902e-05	0.00139179689984915
"PLAC8"	1.25640640112981	3.63733426749262e-05	0.00139540266948575
